City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,markapur,15.7333,79.2833,27.6,71,100,2.33,IN,2024-08-08 18:46:21
323,isla mujeres,21.2311,-86.731,28.03,79,100,3.68,MX,2024-08-08 18:46:21
324,brookings,44.3114,-96.7984,16.0,73,100,4.63,US,2024-08-08 18:42:00
325,hammerfest,70.6634,23.6821,19.25,59,11,4.63,NO,2024-08-08 18:46:22
326,meihekou,42.5272,125.6753,25.44,78,100,1.64,CN,2024-08-08 18:46:22
327,singkil,-7.9855,111.4161,27.3,70,71,3.44,ID,2024-08-08 18:46:22
328,hastings,50.8552,0.5729,19.43,94,100,10.64,GB,2024-08-08 18:46:23
329,copala,16.65,-98.9833,27.33,86,100,1.99,MX,2024-08-08 18:46:23
330,mitu,1.1983,-70.1733,23.37,87,100,0.96,CO,2024-08-08 18:46:23
331,hluti,-27.2167,31.6167,17.18,34,0,1.97,SZ,2024-08-08 18:46:23
332,villa gesell,-37.2639,-56.973,8.74,83,87,10.39,AR,2024-08-08 18:46:24
333,lata,40.1629,-8.3327,13.95,94,8,0.29,PT,2024-08-08 18:46:24
334,guasdualito,7.2424,-70.7324,28.0,94,20,1.03,VE,2024-08-08 18:46:24
335,massawa,15.6097,39.45,32.03,61,32,1.99,ER,2024-08-08 18:46:24
336,phalodi,27.1333,72.3667,28.83,73,47,6.01,IN,2024-08-08 18:46:25
337,komlo,46.1928,18.2649,19.69,88,8,1.81,HU,2024-08-08 18:46:25
338,la ronge,55.1001,-105.2842,21.14,35,75,2.06,CA,2024-08-08 18:46:25
339,gbarnga,6.9956,-9.4722,20.6,98,100,1.21,LR,2024-08-08 18:46:25
340,esbjerg,55.4667,8.45,16.17,89,100,4.63,DK,2024-08-08 18:46:26
341,pisco,-13.7,-76.2167,16.03,82,0,5.66,PE,2024-08-08 18:46:26
342,las tablas,7.7667,-80.2833,25.1,99,100,0.71,PA,2024-08-08 18:46:26
343,chui,-33.6971,-53.4616,7.33,79,100,3.92,UY,2024-08-08 18:46:26
344,bereznik,62.8551,42.7072,11.66,84,70,1.34,RU,2024-08-08 18:46:27
345,portland,45.5234,-122.6762,34.8,38,20,3.6,US,2024-08-08 18:37:00
346,hilo,19.7297,-155.09,28.38,73,20,3.6,US,2024-08-08 18:46:27
347,vadso,70.0744,29.7487,13.49,81,0,2.06,NO,2024-08-08 18:46:27
348,montepuez,-13.1256,38.9997,17.06,96,71,2.19,MZ,2024-08-08 18:46:28
349,mariental,-24.6333,17.9667,9.49,18,4,4.3,NA,2024-08-08 18:46:28
350,sinabang,2.4803,96.3801,26.48,85,100,2.27,ID,2024-08-08 18:46:28
351,port-gentil,-0.7193,8.7815,23.71,83,96,3.98,GA,2024-08-08 18:46:28
352,san pedro,14.35,121.0167,31.31,78,75,4.63,PH,2024-08-08 18:46:29
353,sittwe,20.15,92.9,26.71,84,100,3.95,MM,2024-08-08 18:46:29
354,taro,-8.3862,115.28,23.0,72,63,1.84,ID,2024-08-08 18:46:29
355,bozdogan,37.6713,28.314,20.34,48,0,1.27,TR,2024-08-08 18:46:29
356,taybad,34.74,60.7756,27.19,45,0,9.2,IR,2024-08-08 18:46:30
357,al jawf,29.5,38.75,25.27,32,0,3.81,SA,2024-08-08 18:46:30
358,sitka,57.0531,-135.33,18.94,72,20,2.06,US,2024-08-08 18:46:30
359,badger,64.8,-147.5333,18.95,76,75,4.63,US,2024-08-08 18:46:30
360,winona,43.9666,-91.7668,16.88,55,40,4.12,US,2024-08-08 18:46:31
361,el alto,-4.2714,-81.2147,16.81,86,22,6.79,PE,2024-08-08 18:46:31
362,salalah,17.0151,54.0924,24.05,100,100,4.63,OM,2024-08-08 18:46:31
363,madera,37.1666,-119.8343,38.64,11,0,4.94,US,2024-08-08 18:45:09
364,ghat,24.9647,10.1728,30.59,14,24,1.35,LY,2024-08-08 18:46:31
365,saudarkrokur,65.7461,-19.6394,6.33,95,100,0.87,IS,2024-08-08 18:46:32
